,bathrooms,bedrooms,latitude,longitude,isApartment,isCondo,isLot,isMultiFamily,isSingleFamily,isTownHouse,price
0,7,7,43.685574,-79.44869,0,0,0,0,1,0,1849000
1,1,1,43.618538,-79.4851,0,1,0,0,0,0,585000
2,1,2,43.630337,-79.47273,0,1,0,0,0,0,794500
3,3,3,43.644554,-79.421234,0,0,0,0,1,0,3799000
4,2,3,43.72208,-79.543945,0,1,0,0,0,0,489999
5,11,17,43.671116,-79.298,0,0,0,1,0,0,9190000
6,3,7,43.68964,-79.4975,0,0,0,1,0,0,1300000
7,2,2,43.641354,-79.562775,0,1,0,0,0,0,920000
8,3,3,43.689766,-79.40217,0,1,0,0,0,0,2480000
9,5,4,43.819138,-79.31484,0,0,0,0,1,0,1799000
10,2,2,43.79573,-79.31573,0,1,0,0,0,0,449900
11,2,2,43.641354,-79.562775,0,1,0,0,0,0,869000
12,1,1,43.641243,-79.414406,0,1,0,0,0,0,625000
13,2,3,43.80548,-79.35377,0,0,0,0,1,0,1258800
14,3,2,43.630337,-79.47273,0,1,0,0,0,0,1998000
15,2,2,43.785908,-79.289856,0,1,0,0,0,0,659900
16,2,2,43.733253,-79.446014,0,1,0,0,0,0,619000
17,1,2,43.78688,-79.41689,0,1,0,0,0,0,628800
18,2,3,43.740665,-79.23514,0,1,0,0,0,0,479800
19,1,1,43.64608,-79.391235,0,1,0,0,0,0,886500
20,1,2,43.661762,-79.38363,0,1,0,0,0,0,829000
21,1,2,43.760143,-79.408875,0,1,0,0,0,0,759900
22,1,2,43.7525,-79.33254,0,1,0,0,0,0,600000
23,2,2,43.772797,-79.34539,0,1,0,0,0,0,699000
24,1,2,43.655773,-79.37599,0,1,0,0,0,0,899000
25,2,4,43.72894,-79.345505,0,0,0,0,0,1,995000
26,1,2,43.65698,-79.355415,0,1,0,0,0,0,599000
27,1,2,43.725807,-79.480606,0,1,0,0,0,0,449000
28,1,2,43.64684,-79.39027,0,1,0,0,0,0,749900
29,1,2,43.733913,-79.44845,0,1,0,0,0,0,589000
30,4,4,43.830193,-79.27705,0,0,0,0,1,0,999000
31,3,4,43.82384,-79.26657,0,0,0,0,1,0,998800
32,3,3,43.685173,-79.51599,0,1,0,0,0,0,879000
33,2,6,43.69906,-79.44359,0,0,0,0,1,0,1249000
34,2,4,43.669987,-79.58003,0,0,0,0,1,0,1048800
35,1,2,43.785404,-79.41623,0,1,0,0,0,0,898888
36,7,8,43.75427,-79.45246,0,0,0,0,1,0,2999900
37,1,1,43.670265,-79.394356,0,1,0,0,0,0,575000
38,1,2,43.731857,-79.57696,0,1,0,0,0,0,469000
39,1,1,43.767647,-79.382126,0,1,0,0,0,0,529000
40,1,1,43.736553,-79.483246,0,1,0,0,0,0,539000
41,2,2,43.748337,-79.56748,0,1,0,0,0,0,519900
42,3,3,43.736107,-79.47886,0,0,0,0,0,1,849999
43,2,2,43.635864,-79.46739,0,1,0,0,0,0,759000
44,2,4,43.725285,-79.47877,0,0,0,0,0,1,699900
45,1,1,43.768177,-79.41177,0,1,0,0,0,0,599000
46,2,2,43.64671,-79.40176,0,1,0,0,0,0,998800
47,2,2,43.655704,-79.376495,0,1,0,0,0,0,919999
48,3,3,43.644737,-79.37184,0,1,0,0,0,0,1900000
49,1,1,43.769478,-79.283455,0,1,0,0,0,0,395900
50,2,2,43.635864,-79.46739,0,1,0,0,0,0,1150000
51,1,2,43.639343,-79.39297,0,1,0,0,0,0,744000
52,1,2,43.675602,-79.39788,0,1,0,0,0,0,818990
53,1,2,43.6439,-79.39948,0,1,0,0,0,0,749000
54,2,2,43.790024,-79.25466,0,1,0,0,0,0,599000
55,1,1,43.780315,-79.341995,0,1,0,0,0,0,559000
56,1,2,43.664803,-79.38696,0,1,0,0,0,0,719990
57,2,3,43.806667,-79.33489,0,1,0,0,0,0,899000
58,2,4,43.668064,-79.56183,0,0,0,0,1,0,1299000
59,2,6,43.72208,-79.57129,0,0,0,0,1,0,999000
60,4,3,43.70748,-79.461754,0,0,0,0,1,0,1288800
61,2,5,43.761753,-79.52316,0,0,0,0,1,0,959000
62,2,4,43.75972,-79.50086,0,0,0,0,1,0,1249000
63,2,6,43.708633,-79.29939,0,0,0,0,1,0,699999
64,5,6,43.824265,-79.227905,0,0,0,0,1,0,1399999
65,3,3,43.771606,-79.30251,0,0,0,0,1,0,959000
66,4,4,43.787758,-79.34526,0,0,0,0,1,0,1475000
67,2,3,43.685905,-79.2858,0,0,0,0,1,0,949900
68,3,4,43.794254,-79.14535,0,0,0,0,1,0,999000
69,2,3,43.687584,-79.438065,0,0,0,0,1,0,1088000
70,2,6,43.70866,-79.29937,0,0,0,0,1,0,699999
71,4,5,43.78164,-79.406,0,0,0,0,1,0,1588000
72,4,5,43.76504,-79.45697,0,0,0,0,1,0,1349000
73,3,3,43.7972,-79.39912,0,0,0,0,1,0,1987000
74,4,5,43.79244,-79.142525,0,0,0,0,1,0,1099000
75,2,4,43.692654,-79.33829,0,0,0,0,1,0,1340000
76,2,3,43.822945,-79.27499,0,1,0,0,0,0,697900
77,2,2,43.645523,-79.39057,0,1,0,0,0,0,775000
78,2,2,43.7563,-79.40839,0,1,0,0,0,0,727000
79,2,4,43.741825,-79.23443,0,0,0,0,1,0,949898
80,2,3,43.775063,-79.34579,0,1,0,0,0,0,893000
81,2,2,43.64242,-79.37558,0,1,0,0,0,0,799000
82,2,3,43.719173,-79.326385,0,1,0,0,0,0,669900
83,7,8,43.73556,-79.2767,0,0,0,0,1,0,1999000
84,1,1,43.640427,-79.42465,0,1,0,0,0,0,488800
